anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,satisfaction
0,0,0,0,1,0,0,0,10
0.00001,0.00012,0.00003,0.00059,0.06631,0.00555,0.00001,0.92739,7
0.09557,0.00391,0.68476,0,0,0.00214,0.21358,0.00001,1
0.00018,0.00666,0.00008,0.00073,0.01107,0.18822,0.00011,0.79291,4
0.00002,0.00024,0.00005,0.00115,0.00006,0.00493,0.00001,0.99352,5
0.00001,0,0,0,1,0,0,0,10
0,0,0,0,1,0,0,0,10
0.00245,0.00055,0.00633,0.00012,0.95892,0.02225,0.00898,0.00039,9
0,0,0,0,0.99999,0,0,0,10
0.00019,0,0,0,0.9998,0,0,0,9
0.00001,0.03091,0.00008,0.00003,0.00012,0.93154,0.03713,0.00018,6
0.00033,0.00128,0,0,0,0.99027,0.00811,0.00001,3
0.00003,0.00922,0.00002,0,0.00004,0.9894,0.00129,0,5
0.73363,0.00065,0.00001,0,0,0.26538,0.00032,0.00001,2
0.00005,0.00206,0.00014,0.00004,0.00003,0.04749,0.95019,0.00001,1
0.00018,0.00063,0.00011,0.00214,0,0.3702,0.62545,0.00129,2
0.00006,0.00039,0.00094,0.02039,0,0.12928,0.83631,0.01263,3
0.00603,0.03856,0.00085,0.00012,0.0178,0.92338,0.01209,0.00117,4
0,0.00112,0,0,0.04386,0.95497,0.00003,0.00002,7
0.00037,0.0114,0.00002,0,0.00075,0.98732,0.00014,0.00001,6
0.00001,0.05316,0.00001,0,0.76637,0.1804,0.00001,0.00004,8
0.32556,0.00069,0.04019,0.0097,0.00656,0.12339,0.15136,0.34255,8
0.05542,0.07753,0.05965,0.0479,0.01376,0.05965,0.0479,0.47122,5
0.0057,0.02985,0.00938,0.00004,0.30452,0.63996,0.01024,0.00031,4
